p[MeV/fm^3],e[MeV/fm^3],n/n_0
0.447,87.9,0.5792
0.7162,108.2,0.7124
0.9094,119.5,0.7861
1.154,131.5,0.8646
1.464,144.4,0.9483
1.851,158,1.0371
2.163,167.8,1.1
3.064,183.3,1.2
4.22,198.9,1.3
5.677,214.6,1.4
7.481,230.3,1.5
9.684,246.3,1.6
12.34,262.3,1.7
15.51,278.6,1.8
19.25,295,1.9
23.64,311.7,2
28.73,328.6,2.1
34.61,345.7,2.2
41.35,363.2,2.3
49.02,380.9,2.4
57.72,399,2.5
67.52,417.4,2.6
78.53,436.3,2.7
90.82,455.6,2.8
104.5,475.3,2.9
119.6,495.6,3
132,516.3,3.1
145.2,537.4,3.2
159.3,559,3.3
174.2,581,3.4
190,603.4,3.5
206.8,626.3,3.6
224.5,649.7,3.7
243.2,673.6,3.8
262.9,698,3.9
283.7,722.9,4
305.5,748.3,4.1
328.4,774.3,4.2
352.4,800.8,4.3
377.6,827.9,4.4
403.9,855.6,4.5
426.7,883.8,4.6
450.3,912.6,4.7
474.7,941.8,4.8
499.8,971.6,4.9
525.6,1002,5
552.3,1033,5.1
579.8,1064,5.2
608.1,1096,5.3
637.2,1128,5.4
