p[MeV/fm^3],e[MeV/fm^3],n/n_0
0.447,87.9,0.5792
0.7162,108.2,0.7124
0.9094,119.5,0.7861
1.154,131.5,0.8646
1.464,144.4,0.9483
1.851,158,1.0371
2.163,167.8,1.1
2.465,183.3,1.2
2.78,198.8,1.3
3.106,214.3,1.4
3.445,229.8,1.5
3.795,245.4,1.6
4.157,261,1.7
4.529,276.6,1.8
4.911,292.2,1.9
5.304,307.9,2
5.707,323.5,2.1
6.119,339.2,2.2
6.541,354.9,2.3
6.972,370.6,2.4
7.413,386.4,2.5
9.379,402.2,2.6
11.76,418,2.7
14.63,434,2.8
18.06,450.1,2.9
22.13,466.3,3
26.94,482.7,3.1
32.6,499.2,3.2
39.21,515.9,3.3
46.9,532.8,3.4
55.81,550,3.5
66.09,567.5,3.6
77.9,585.2,3.7
91.41,603.3,3.8
106.8,621.8,3.9
124.3,640.7,4
133.9,659.9,4.1
143.9,679.4,4.2
154.5,699.2,4.3
165.5,719.1,4.4
177,739.4,4.5
189.1,759.9,4.6
201.7,780.6,4.7
214.9,801.7,4.8
228.6,823,4.9
242.8,844.6,5
257.7,866.5,5.1
273.2,888.7,5.2
289.2,911.2,5.3
305.9,934,5.4
323.2,957.1,5.5
341.2,980.6,5.6
359.8,1004,5.7
379.1,1028,5.8
399,1052,5.9
419.7,1077,6
441.1,1102,6.1
463.1,1128,6.2
485.8,1154,6.3
509.3,1180,6.4
533.6,1206,6.5
558.6,1233,6.6
584.4,1261,6.7
611,1289,6.8
638.4,1317,6.9
666.5,1345,7
